tweet_text,tweet_category,tweet_topics,tweet_location,tweet_state,tweet_region,user_gender,retweet_count,tweet_date,tweet_time,day_of_week
#NewYearsResolution to not put the parking lot ticket directly in my mouth right after getting it from the machine #ew,Humor,Humor about Personal Growth and Interests Resolutions,"City of Angels, CA",CA,West,male,NULL,2014-12-21,16,Sunday
I got the hair. I just need to work on the body to pull off Lara Croft next Halloween #NewYearsResolution http://t.co/Ihqh5Z7prx,Health & Fitness,Improve my body,"Arlington, TX",TX,South,male,NULL,2014-12-21,16,Sunday
"Self improvement!.. Mentally, physically, and financially. #NewYearsResolution",Personal Growth,Improve my attitude,"Las Vegas, NV",NV,West,male,NULL,2014-12-21,16,Sunday
I've decided to get pregnant in #2015 #NewYearsResolution,Humor,Humor about Family/Friends/Relationships Resolutions,"Ft. Luderdale, Florida",FL,South,male,NULL,2014-12-21,17,Sunday
All I want for Christmas is to be Carrie Underwood. #NewYearsResolution,Personal Growth,Other,South Carolina,SC,South,female,NULL,2014-12-21,18,Sunday
"Note to self: ""Stop being lazy &amp; get back into hot yoga."" I have a monthly pass, so no excuses! #hotyoga #newyearsresolution #healthiswealth",Health & Fitness,Excersize More,NYC,NY,Northeast,female,NULL,2014-12-21,18,Sunday
RT @ashley_pg19: I'm sick of waiting on life to happen. I want to make my life worth living. _Ùâ_ÙÎÈ #life #loveyourlife #christmastime #NewYear‰Û_,Personal Growth,Be more positive,"Green Bay, Wi",WI,Midwest,female,NULL,2014-12-21,18,Sunday
I have to go do my 6 mile run. #stayingFIT #toneUP #StallionBOOTY #NewYearsResolution starts now.,Health & Fitness,Excersize More,"Lake Isabella, CA",CA,West,female,NULL,2014-12-21,19,Sunday
social media purging &gt; #NewYearsResolution,Personal Growth,Try new things,Knoxville,TN,South,female,NULL,2014-12-21,19,Sunday
"My #NewYearsResolution is to gain a bunch of weight, then lose it",Humor,Humor about Personal Growth and Interests Resolutions,"Los Angeles / South Bay, CA",CA,West,male,NULL,2014-12-21,19,Sunday
"‰ÛÏ@PartiPants27: My #NewYearsResolution is to make ""dem gainz"" By any means necessary‰Û bang bang muscle gainz",Health & Fitness,Improve my body,"GARDENA, Ca",CA,West,male,NULL,2014-12-21,19,Sunday
My #NewYearsResolution should be to make payments on my student loan that are equal to my @ULTA_Beauty orders. #platinum,Finance,Save money,Minnesota,MN,Midwest,female,NULL,2014-12-21,20,Sunday
#NewYearsResolution 1: Acknowledge life's  futility by becoming an alcoholic.  (All tips and advice are welcome),Humor,Humor about Health and Fitness Resolutions,San Francisco - Los Angeles,CA,West,male,NULL,2014-12-21,20,Sunday
"they gotta listen tho ""@K1NG_JAMES_ #NewYearsResolution teach everyone I come in contact with a positive lesson that helps them out in life""",Philanthropic,Other,Flyin Over Texas,TX,South,male,NULL,2014-12-21,20,Sunday
RT @K1NG_JAMES_: I just wanna be as happy as the ppl that be on my chemistry book pretend to be #NewYearsResolution,Personal Growth,Be more positive,"Franklin ‰_Á•ü Hunstville, TX",TX,South,female,NULL,2014-12-21,20,Sunday
#NewYearsResolution: I will play more #tennis in 2015. _Ù÷_,Recreation & Leisure,Spend more time on my hobby,mississippi gulf coast,MS,South,female,NULL,2014-12-21,21,Sunday
"#bucketlist eat at chipotle never had it #1problem #NewYearsResolution is to go vegetarian. Panara it is, never had that either #pretentious",Health & Fitness,Eat healthier,"Miami,Fl",FL,South,male,NULL,2014-12-21,21,Sunday
In 2015 I want to save all year to give a significant donation to a few charities I feel passionately about #NewYearsResolution,Philanthropic,Donate more to charity,"Morgantown, WV",WV,South,female,NULL,2014-12-21,21,Sunday
